dt_ymd,city_id,order_cnt_sum,order_infos_cnt_sum
20170206,2201,51,51
20170213,4301,77,79
20170225,3702,4,4
20170312,2101,51,53
20170323,4501,240,244
20170422,2301,194,199
20170504,3202,27,27
20170507,6501,47,54
20170508,3502,47,47
20170606,4301,27,27
20170618,3702,11,11
20170705,2101,102,102
20170712,4201,257,257
20170716,4501,375,382
20170720,3302,15,15
20170725,4419,21,21
20170815,2301,174,175
20170822,4401,1559,1634
20170830,3502,12,12
20170912,4403,1837,1942
20170921,2201,121,121
20171005,4101,14,14
20171009,4401,1563,1607
20171013,3202,27,27
20171016,6501,48,48
20171017,3502,14,14
20171108,2201,88,88
20171115,4301,85,85
20171116,1302,6,6
20171127,3702,8,8
20171214,2101,138,138
20171221,4201,804,824
20171225,4501,1995,2095
20180115,4103,409,419
20180119,4403,3372,3503
20180123,3204,189,189
20180125,4414,43,43
20180128,2201,47,47
20180205,4105,113,114
20180209,4405,83,84
20180209,6101,388,388
20180213,3206,6,6
20180215,4416,3,3
20180217,3506,3,3
20180304,3601,166,166
20180305,4418,48,53
20180327,3706,41,41
20180403,1401,308,312
20180405,4307,375,378
20180410,3501,430,431
20180417,3708,145,145
20180418,4101,748,807
20180421,4205,261,295
20180425,6201,10,10
20180426,3202,205,210
20180428,4412,107,107
20180429,6501,55,59
20180503,5106,1,1
20180507,3710,32,32
20180508,4103,675,747
20180514,4114,133,133
20180516,3204,562,572
20180518,4414,489,492
20180520,3701,313,365
20180528,4301,328,328
20180529,1302,954,958
20180531,4405,608,621
20180531,6101,1044,1151
20180601,4209,129,137
20180602,4602,14,14
20180604,4116,282,288
20180605,4509,12,12
20180606,3206,459,459
20180608,4416,864,865
20180610,3703,868,946
20180613,5306,31,31
20180618,4303,3,3
20180619,1304,351,353
20180621,4407,330,330
20180621,6103,189,189
20180622,1408,427,428
20180626,3404,9,9
20180627,2101,406,407
20180629,3311,47,47
20180630,2205,3,3
20180708,4305,453,453
20180709,1306,586,679
20180711,4409,617,636
20180711,6105,110,110
20180712,1410,177,177
20180716,3406,18,18
20180717,2103,278,278
20180720,2207,13,13
20180722,5113,502,522
20180723,2114,131,131
20180724,4203,2,2
20140817,5101,1,1
20141029,1101,45,45
20141102,4401,2,2
20150122,4401,19,19
20150212,4403,80,80
20150515,4401,154,154
20150605,4403,403,424
20150629,3205,67,67
20150904,4101,10,10
20150908,4401,863,911
20151020,4101,104,104
20151024,4401,1988,2049
20151114,4403,2606,2818
20151123,2201,46,47
20151130,4301,54,57
20151204,6101,143,167
20160119,3202,23,23
20160202,1301,62,63
20160213,3701,37,44
20160224,6101,70,71
20160327,4201,128,153
20160527,4403,1070,1244
20160606,3701,75,75
20160617,6101,117,129
