,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat__
31,2018-08-09,62959.42033654827,59861.88270272384,74647.66091209762,62959.42033654827,62959.42033654827,0.07455909948787613,0.07455909948787613,0.07455909948787613,0.07455909948787613,0.07455909948787613,0.07455909948787613,0.0,0.0,0.0,67653.61802111998
32,2018-08-10,63106.676119186886,69423.71112555824,84924.30044175118,63106.676119186886,63106.676119186886,0.2283413975897137,0.2283413975897137,0.2283413975897137,0.2283413975897137,0.2283413975897137,0.2283413975897137,0.0,0.0,0.0,77516.54274148343
33,2018-08-11,63253.93190182552,41979.914536954464,57256.770020052674,63253.93190182552,63253.93190182552,-0.21498169005791165,-0.21498169005791165,-0.21498169005791165,-0.21498169005791165,-0.21498169005791165,-0.21498169005791165,0.0,0.0,0.0,49655.49471876302
34,2018-08-12,63403.69054181664,41117.450441712455,56389.62932483268,63403.69054181664,63403.69054181664,-0.2306495891238186,-0.2306495891238186,-0.2306495891238186,-0.2306495891238186,-0.2306495891238186,-0.2306495891238186,0.0,0.0,0.0,48779.65536941289
35,2018-08-13,63553.44918180779,58489.08871865882,73512.70787106901,63553.44918180779,63553.44918180779,0.03764927131964134,0.03764927131964134,0.03764927131964134,0.03764927131964134,0.03764927131964134,0.03764927131964134,0.0,0.0,0.0,65946.1902333527
36,2018-08-14,63703.20903936813,59444.679859924596,74201.38665223004,63703.20903936813,63703.20903936813,0.048670366196225376,0.048670366196225376,0.048670366196225376,0.048670366196225376,0.048670366196225376,0.048670366196225376,0.0,0.0,0.0,66803.66755118886
37,2018-08-15,63852.96889692848,59916.14751181454,75232.42489739046,63852.96889692848,63852.96889692848,0.05641114458816011,0.05641114458816011,0.05641114458816011,0.05641114458816011,0.05641114458816011,0.05641114458816011,0.0,0.0,0.0,67454.9879577564
38,2018-08-16,64002.72875328077,61216.87811638671,76356.73797946234,64002.72875328077,64002.72875328077,0.07455909948804741,0.07455909948804741,0.07455909948804741,0.07455909948804741,0.07455909948804741,0.07455909948804741,0.0,0.0,0.0,68774.71457390314
39,2018-08-17,64152.488609633045,71319.04786280465,86427.46795729194,64152.488609633045,64152.488609633045,0.22834139759012292,0.22834139759012292,0.22834139759012292,0.22834139759012292,0.22834139759012292,0.22834139759012292,0.0,0.0,0.0,78801.1575176411
40,2018-08-18,64302.24845940833,42584.144415356626,58177.57645324229,64302.248459408336,64302.248459408336,-0.21498169005806328,-0.21498169005806328,-0.21498169005806328,-0.21498169005806328,-0.21498169005806328,-0.21498169005806328,0.0,0.0,0.0,50478.442411071235
41,2018-08-19,64452.00830918363,41468.81432622786,56867.13800573212,64452.00830918363,64452.00830918363,-0.230649589123315,-0.230649589123315,-0.230649589123315,-0.230649589123315,-0.230649589123315,-0.230649589123315,0.0,0.0,0.0,49586.17907449794
42,2018-08-20,64601.76814927224,59304.97849047693,75013.87978949507,64601.76814927224,64601.76814927224,0.03764927131993764,0.03764927131993764,0.03764927131993764,0.03764927131993764,0.03764927131993764,0.03764927131993764,0.0,0.0,0.0,67033.9776460719
43,2018-08-21,64751.52798936085,60654.01105471154,75675.39652156808,64751.52798936085,64751.52798936085,0.048670366195631865,0.048670366195631865,0.048670366195631865,0.048670366195631865,0.048670366195631865,0.048670366195631865,0.0,0.0,0.0,67903.00856832975
44,2018-08-22,64901.28782032677,60808.95524431255,76436.87781592889,64901.28782032677,64901.28782032677,0.05641114458793895,0.05641114458793895,0.05641114458793895,0.05641114458793895,0.05641114458793895,0.05641114458793895,0.0,0.0,0.0,68562.44375150267
45,2018-08-23,65051.04765129269,62212.06041099637,77313.01454967113,65051.04765129269,65051.04765129269,0.07455909948775209,0.07455909948775209,0.07455909948775209,0.07455909948775209,0.07455909948775209,0.07455909948775209,0.0,0.0,0.0,69901.19518490792
46,2018-08-24,65200.80747652386,72696.66267914893,87905.39893795668,65200.80747652386,65200.80747652386,0.22834139759053215,0.22834139759053215,0.22834139759053215,0.22834139759053215,0.22834139759053215,0.22834139759053215,0.0,0.0,0.0,80088.85097974454
47,2018-08-25,65350.56730175505,43022.505498519364,58855.66270939231,65350.56730175505,65350.56730175505,-0.21498169005821488,-0.21498169005821488,-0.21498169005821488,-0.21498169005821488,-0.21498169005821488,-0.21498169005821488,0.0,0.0,0.0,51301.39189696063
48,2018-08-26,65500.32715382344,42708.18372307471,57943.75357668834,65500.32715382344,65500.32715382344,-0.23064958912329447,-0.23064958912329447,-0.23064958912329447,-0.23064958912329447,-0.23064958912329447,-0.23064958912329447,0.0,0.0,0.0,50392.7036083527
