,dt_ymd,city_id,_c2
30786,20180219,3303.0,39
30787,20180220,1301.0,5
30788,20180220,3101.0,4032
30789,20180220,3701.0,33
30790,20180220,4301.0,5
30791,20180220,6101.0,20
30792,20180221,3310.0,5
30793,20180224,4417.0,104
30794,20180225,3306.0,20
30795,20180227,3604.0,15
30796,20180228,4413.0,246
30797,20180301,2201.0,47
30798,20180301,3401.0,328
30799,20180301,4601.0,253
30800,20180301,5201.0,58
30801,20180303,4419.0,57
30802,20180307,4415.0,110
30803,20180308,3304.0,9
30804,20180309,4113.0,189
30805,20180310,5111.0,65
30806,20180313,4418.0,58
30807,20180314,3307.0,36
30808,20180316,4205.0,74
30809,20180317,4414.0,261
30810,20180318,3303.0,392
30811,20180318,4503.0,22
30812,20180320,3310.0,137
30813,20180323,4417.0,240
30814,20180324,3306.0,57
30815,20180325,4115.0,8
30816,20180326,3604.0,28
30817,20180327,3213.0,0
30818,20180327,4413.0,270
30819,20180328,2102.0,615
30820,20180328,3302.0,152
30821,20180401,4210.0,32
30822,20180402,4419.0,100
30823,20180406,4415.0,263
30824,20180407,3304.0,11
30825,20180408,4113.0,306
30826,20180411,4209.0,11
30827,20180412,4418.0,187
30828,20180413,3307.0,35
30829,20180414,4116.0,219
30830,20180415,4205.0,174
30831,20180416,4414.0,724
30832,20180417,3303.0,398
30833,20180417,4503.0,119
30834,20180419,1201.0,1423
30835,20180419,3601.0,429
30836,20180419,4201.0,665
30837,20180422,4417.0,343
30838,20180423,3306.0,115
30839,20180424,4115.0,130
30840,20180425,3604.0,59
30841,20180426,3213.0,152
30842,20180426,4413.0,341
30843,20180427,2102.0,642
30844,20180427,3302.0,261
30845,20180427,4502.0,12
30846,20180501,4419.0,154
30847,20180503,4117.0,36
30848,20180505,4415.0,311
30849,20180506,1504.0,2
30850,20180506,3304.0,39
30851,20180507,4113.0,317
30852,20180509,3211.0,132
30853,20180510,3609.0,41
30854,20180510,4209.0,63
30855,20180511,4418.0,421
30856,20180512,3307.0,47
30857,20180512,5107.0,52
30858,20180513,4116.0,73
30859,20180514,4205.0,217
30860,20180515,4414.0,491
30861,20180516,2103.0,71
30862,20180516,3303.0,292
30863,20180516,4503.0,218
30864,20180518,1201.0,1964
30865,20180518,3601.0,499
30866,20180518,4201.0,985
30867,20180519,3210.0,279
30868,20180521,4417.0,217
30869,20180522,2106.0,2
30870,20180522,3306.0,95
30871,20180522,5106.0,13
30872,20180523,4115.0,171
30873,20180524,3604.0,32
30874,20180525,3213.0,348
30875,20180525,4413.0,377
30876,20180526,2102.0,787
30877,20180526,3302.0,219
30878,20180526,4502.0,260
30879,20180529,3209.0,173
30880,20180529,4409.0,329
30881,20180530,3607.0,320
30882,20180530,420607.0,390
30883,20180531,4416.0,590
30884,20180601,3308.0,0
30885,20180602,4117.0,99
30886,20180604,4415.0,409
30887,20180605,1504.0,374
30888,20180605,3304.0,9
30889,20180606,4113.0,547
30890,20180608,3211.0,145
30891,20180609,6540.0,200
30892,20180610,4418.0,496
30893,20180611,3307.0,14
30894,20180611,5107.0,142
30895,20180612,4116.0,408
30896,20180613,4205.0,313
30897,20180614,4414.0,817
30898,20180615,2103.0,212
30899,20180615,3303.0,503
30900,20180615,4503.0,373
30901,20180616,2312.0,23
30902,20180617,1201.0,2338
30903,20180617,3601.0,720
30904,20180617,4201.0,781
30905,20180618,1410.0,94
30906,20180618,3210.0,214
30907,20180620,4417.0,538
30908,20180621,2106.0,207
30909,20180621,3306.0,84
30910,20180621,5106.0,45
30911,20180622,4115.0,365
30912,20180623,3604.0,51
30913,20180624,3213.0,629
30914,20180624,4413.0,330
30915,20180625,1502.0,2
30916,20180625,2102.0,703
30917,20180625,3302.0,249
30918,20180625,4502.0,310
30919,20180625,330782.0,5
30920,20180628,3209.0,422
30921,20180628,4409.0,658
30922,20180630,4416.0,827
30923,20180701,4117.0,219
30924,20180703,4415.0,571
30925,20180704,1504.0,845
30926,20180704,2104.0,3
30927,20180704,3304.0,8
30928,20180704,4504.0,4
30929,20180705,4113.0,553
30930,20180706,4202.0,4
30931,20180707,3211.0,188
30932,20180708,6540.0,186
30933,20180709,3509.0,134
30934,20180709,4109.0,20
30935,20180710,2107.0,37
30936,20180710,3307.0,17
30937,20180710,5107.0,284
30938,20180711,4116.0,570
30939,20180712,4205.0,392
30940,20180713,4414.0,919
30941,20180714,2103.0,306
30942,20180714,3303.0,472
30943,20180714,4503.0,540
30944,20180715,2312.0,200
30945,20180716,1201.0,1570
30946,20180716,3601.0,462
30947,20180716,4201.0,640
30948,20180716,522601.0,10
30949,20180717,1410.0,227
30950,20180717,3210.0,321
30951,20180719,2308.0,73
30952,20180719,3508.0,34
30953,20180719,4108.0,97
30954,20180720,2106.0,744
30955,20180720,3306.0,201
30956,20180720,5106.0,147
30957,20180721,4115.0,537
30958,20180722,3604.0,73
30959,20180723,3213.0,606
30960,20180723,4413.0,455
30961,20180724,1502.0,95
30962,20180724,2102.0,678
30963,20180724,3302.0,296
30964,20180724,4502.0,470
30965,20180724,330782.0,7
30966,20180727,3209.0,346
30967,20180727,4409.0,461
30968,20180729,3507.0,469
30969,20180729,4107.0,577
30970,20180730,1505.0,143
30971,20180730,2105.0,256
30972,20180730,3305.0,147
30973,20180730,4505.0,178
30974,20180730,5105.0,13
30975,20180731,4114.0,409
30976,20180802,4415.0,706
30977,20180803,1504.0,1318
30978,20180803,2104.0,37
30979,20180803,3304.0,11
30980,20180803,4504.0,146
30981,20180804,4113.0,699
30982,20180805,4202.0,22
30983,20180806,3211.0,163
30984,20180807,6540.0,187
30985,20180808,3509.0,288
30986,20180808,4109.0,111
30987,20180810,4116.0,786
30988,20180811,4205.0,387
30989,20180812,4414.0,790
30990,20180813,2103.0,346
30991,20180813,3303.0,314
30992,20180813,4503.0,281
30993,20180813,320583.0,5
30994,20180814,2312.0,279
30995,20180815,1201.0,1679
30996,20180815,3601.0,301
30997,20180815,4201.0,796
30998,20180815,522601.0,112
30999,20180816,1410.0,172
31000,20180816,3210.0,137
31001,20180818,2308.0,123
31002,20180818,3508.0,214
31003,20180818,4108.0,140
31004,20180819,3717.0,905
31005,20180820,4115.0,436
31006,20180821,3604.0,75
31007,20180822,3213.0,772
31008,20180822,4413.0,603
31009,20180823,1502.0,73
31010,20180823,2102.0,812
31011,20180823,3302.0,376
31012,20180823,4502.0,533
31013,20180823,330782.0,10
31014,20180826,3209.0,320
31015,20180826,4409.0,532
31016,20180828,3507.0,316
31017,20180828,4107.0,510
31018,20180829,3716.0,249
31019,20180830,4114.0,418
31020,20180831,4203.0,262
31021,20180901,4415.0,721
31022,20180902,1504.0,1613
31023,20180902,2104.0,9
31024,20180902,3304.0,24
31025,20180902,4504.0,224
31026,20180903,4113.0,519
31027,20140630,3101.0,9
31028,20141026,3101.0,8
31029,20141125,3101.0,30
31030,20141224,3101.0,241
31031,20150530,3101.0,605
31032,20150729,1201.0,160
31033,20150729,4201.0,234
31034,20150828,1201.0,521
31035,20150828,4201.0,532
31036,20150909,2101.0,43
31037,20150909,3301.0,2280
31038,20150909,5101.0,2809
31039,20150927,1201.0,854
31040,20150927,4201.0,707
31041,20151015,3702.0,19
31042,20151025,1301.0,54
31043,20151025,3101.0,4112
31044,20151025,3701.0,17
31045,20151025,4301.0,62
31046,20151025,6101.0,145
31047,20151106,2201.0,50
31048,20151108,4419.0,33
31049,20151114,1302.0,1
31050,20151114,3702.0,15
31051,20151124,1301.0,45
31052,20151124,3101.0,4836
31053,20151124,3701.0,43
31054,20151124,4301.0,62
31055,20151124,6101.0,213
31056,20151205,2201.0,91
31057,20151207,4419.0,13
31058,20151213,1302.0,4
31059,20151213,3702.0,15
31060,20151223,1301.0,30
31061,20151223,3101.0,5571
31062,20151223,3701.0,80
31063,20151223,4301.0,69
31064,20151223,6101.0,153
31065,20160115,2201.0,141
31066,20160117,4419.0,13
31067,20160123,1302.0,15
31068,20160123,3702.0,23
31069,20160214,2201.0,70
31070,20160216,4419.0,21
31071,20160222,1302.0,8
31072,20160222,3702.0,25
31073,20160313,2201.0,127
31074,20160315,4419.0,33
31075,20160321,1302.0,7
31076,20160321,3702.0,21
31077,20160331,1301.0,20
31078,20160331,3101.0,4031
31079,20160331,3701.0,54
31080,20160331,4301.0,30
31081,20160331,6101.0,74
31082,20160410,3703.0,1
31083,20160412,2201.0,173
31084,20160414,4419.0,40
31085,20160420,1302.0,10
31086,20160420,3702.0,7
31087,20160430,1301.0,18
31088,20160430,3101.0,3001
31089,20160430,3701.0,79
31090,20160430,4301.0,41
31091,20160430,6101.0,84
31092,20160511,2201.0,111
31093,20160513,4419.0,38
31094,20160610,2201.0,99
31095,20160612,4419.0,13
31096,20160629,1201.0,392
31097,20160629,4201.0,146
31098,20160711,4419.0,17
31099,20160728,1201.0,391
31100,20160728,4201.0,149
31101,20160809,2101.0,241
31102,20160809,3301.0,4267
31103,20160809,4501.0,462
31104,20160809,5101.0,6873
31105,20160810,4419.0,36
31106,20160827,1201.0,384
31107,20160827,4201.0,134
31108,20160908,2101.0,113
31109,20160908,3301.0,1628
31110,20160908,4501.0,132
31111,20160908,5101.0,2584
31112,20160926,1201.0,402
31113,20160926,4201.0,154
31114,20161006,2201.0,100
31115,20161008,4419.0,28
31116,20161014,1302.0,1
31117,20161014,3702.0,10
31118,20161024,1301.0,29
31119,20161024,3101.0,7300
31120,20161024,3701.0,197
31121,20161024,4301.0,58
31122,20161024,6101.0,174
31123,20161105,2201.0,190
31124,20161107,4419.0,20
31125,20161113,3702.0,5
31126,20161123,1301.0,42
31127,20161123,3101.0,10367
31128,20161123,3701.0,200
31129,20161123,4301.0,68
31130,20161123,6101.0,160
31131,20161204,2201.0,125
31132,20161206,4419.0,12
31133,20161212,3702.0,7
31134,20161222,1301.0,56
31135,20161222,3101.0,11730
31136,20161222,3701.0,163
31137,20161222,4301.0,63
31138,20161222,6101.0,164
31139,20170114,2201.0,80
31140,20170116,4419.0,47
31141,20170122,1302.0,0
31142,20170122,3702.0,9
31143,20170211,3703.0,1
31144,20170213,2201.0,120
31145,20170215,4419.0,39
31146,20170221,1302.0,3
31147,20170221,3702.0,8
31148,20170312,2201.0,94
31149,20170314,4419.0,73
31150,20170320,3702.0,9
31151,20170330,1301.0,22
31152,20170330,3101.0,10327
31153,20170330,3701.0,213
31154,20170330,4301.0,29
31155,20170330,6101.0,121
31156,20170411,2201.0,91
31157,20170413,4419.0,33
31158,20170510,2201.0,137
31159,20170512,4419.0,56
31160,20170529,1201.0,628
31161,20170529,4201.0,180
31162,20170611,4419.0,19
31163,20170628,1201.0,873
31164,20170628,4201.0,249
31165,20170705,5105.0,3
31166,20170709,2101.0,64
31167,20170709,3301.0,2188
31168,20170709,4501.0,372
31169,20170709,5101.0,3906
31170,20170710,4419.0,21
31171,20170727,1201.0,662
31172,20170727,4201.0,327
31173,20170804,5105.0,4
31174,20170808,2101.0,87
31175,20170808,3301.0,3216
31176,20170808,4501.0,478
31177,20170808,5101.0,5774
31178,20170820,3307.0,0
31179,20170824,3303.0,2
31180,20170826,1201.0,1118
31181,20170826,4201.0,624
31182,20170903,5105.0,6
31183,20170907,2101.0,144
31184,20170907,3301.0,3959
