,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
182,2018-01-08,54185.25766024673,41203.39262396405,71175.18484941933,54185.25766024673,54185.25766024673,0.041023690944167274,0.041023690944167274,0.041023690944167274,0.041023690944167274,0.041023690944167274,0.041023690944167274,0.0,0.0,0.0,56408.13692423076
183,2018-01-09,54111.57932198993,40332.39225209677,70446.17574470141,54111.57932198993,54111.57932198993,0.0367598906120422,0.0367598906120422,0.0367598906120422,0.0367598906120422,0.0367598906120422,0.0367598906120422,0.0,0.0,0.0,56100.71505871112
184,2018-01-10,54037.90098373313,42210.79217391829,72050.36824006774,54037.90098373313,54037.90098373313,0.04359971720754929,0.04359971720754929,0.04359971720754929,0.04359971720754929,0.04359971720754929,0.04359971720754929,0.0,0.0,0.0,56393.938185113446
185,2018-01-11,53964.222645476344,42122.446142584005,72490.133333666,53964.222645476344,53964.222645476344,0.06451445011542273,0.06451445011542273,0.06451445011542273,0.06451445011542273,0.06451445011542273,0.06451445011542273,0.0,0.0,0.0,57445.69479535549
186,2018-01-12,53890.54430721954,47905.65162476084,80450.87075046507,53890.544307219534,53890.544307219534,0.1865585615220256,0.1865585615220256,0.1865585615220256,0.1865585615220256,0.1865585615220256,0.1865585615220256,0.0,0.0,0.0,63944.2867328134
187,2018-01-13,53816.865968962746,29304.3587901709,59769.446946829754,53816.865968962746,53816.865968962746,-0.16206514049793308,-0.16206514049793308,-0.16206514049793308,-0.16206514049793308,-0.16206514049793308,-0.16206514049793308,0.0,0.0,0.0,45095.028024544365
188,2018-01-14,53743.18763070595,28011.805674896223,58135.12762240175,53743.18763070595,53743.18763070595,-0.2103911699028121,-0.2103911699028121,-0.2103911699028121,-0.2103911699028121,-0.2103911699028121,-0.2103911699028121,0.0,0.0,0.0,42436.09551077539
189,2018-01-15,53669.50929244915,41493.19603412649,71183.04700615755,53669.50929244915,53669.50929244915,0.041023690944047835,0.041023690944047835,0.041023690944047835,0.041023690944047835,0.041023690944047835,0.041023690944047835,0.0,0.0,0.0,55871.230654781284
190,2018-01-16,53595.83095419236,39881.57579849326,69934.63407098113,53595.83095419236,53595.83095419236,0.036759890612100804,0.036759890612100804,0.036759890612100804,0.036759890612100804,0.036759890612100804,0.036759890612100804,0.0,0.0,0.0,55566.00783733311
191,2018-01-17,53522.15261660014,41643.2008314698,70483.6167079029,53522.15261660014,53522.15261660014,0.04359971720758211,0.04359971720758211,0.04359971720758211,0.04359971720758211,0.04359971720758211,0.04359971720758211,0.0,0.0,0.0,55855.70333502496
