cd_holiday_ymd.dt_ymd,cd_holiday_ymd.lunar_calendar,cd_holiday_ymd.is_holiday,cd_holiday_ymd.festival,cd_holiday_ymd.is_weekend
20180305,2018年正月十八,0,惊蛰,0
20180306,2018年正月十九,0,null,0
20180307,2018年正月二十,0,null,0
20180308,2018年正月廿一,0,妇女节,0
20180309,2018年正月廿二,0,null,0
20180310,2018年正月廿三,1,null,1
20180311,2018年正月廿四,1,null,2
20180312,2018年正月廿五,0,植树节,0
20180313,2018年正月廿六,0,null,0
20180314,2018年正月廿七,0,null,0
20180315,2018年正月廿八,0,null,0
20180316,2018年正月廿九,0,null,0
20180317,2018年二月初一,1,null,1
20180318,2018年二月初二,1,龙抬头,2
20180319,2018年二月初三,0,null,0
20180320,2018年二月初四,0,null,0
20180321,2018年二月初五,0,春分,0
20180322,2018年二月初六,0,null,0
20180323,2018年二月初七,0,null,0
20180324,2018年二月初八,1,null,1
20180325,2018年二月初九,1,null,2
20180326,2018年二月初十,0,null,0
20180327,2018年二月十一,0,null,0
20180328,2018年二月十二,0,null,0
20180329,2018年二月十三,0,null,0
20180330,2018年二月十四,0,null,0
20180331,2018年二月十五,1,null,1
20180401,2018年二月十六,1,复活节,2
20180402,2018年二月十七,0,null,0
20180403,2018年二月十八,0,null,0
20180404,2018年二月十九,0,null,0
20180405,2018年二月二十,1,清明,0
20180406,2018年二月廿一,1,null,0
20180407,2018年二月廿二,1,null,1
20180408,2018年二月廿三,0,null,2
20180409,2018年二月廿四,0,null,0
20180410,2018年二月廿五,0,null,0
20180411,2018年二月廿六,0,null,0
20180412,2018年二月廿七,0,null,0
20180413,2018年二月廿八,0,null,0
20180414,2018年二月廿九,1,null,1
20180415,2018年二月三十,1,null,2
20180416,2018年三月初一,0,null,0
20180417,2018年三月初二,0,null,0
20180418,2018年三月初三,0,null,0
20180419,2018年三月初四,0,null,0
20180420,2018年三月初五,0,谷雨,0
20180421,2018年三月初六,1,null,1
20180422,2018年三月初七,1,null,2
20180423,2018年三月初八,0,null,0
20180424,2018年三月初九,0,null,0
20180425,2018年三月初十,0,null,0
20180426,2018年三月十一,0,null,0
20180427,2018年三月十二,0,null,0
