dt_ymd,city_id,_c2
20150413,5101,132
20150414,3101,274
20150414,3301,202
20150414,5101,165
20150414,1101,1382
20150414,4403,115
20150414,4401,51
20150415,5101,132
20150415,3301,189
20150415,1101,1742
20150415,3101,275
20150415,4401,57
20150415,4403,139
20150416,3101,303
20150416,4401,91
20150416,1101,1826
20150416,5101,176
20150416,4403,139
20150416,3301,188
20150417,3301,172
20150417,5101,240
20150417,3101,358
20150417,4401,70
20150417,4403,164
20150417,1101,2322
20150418,4401,60
20150418,4403,128
20150418,3101,269
20150418,3301,164
20150418,5101,181
20150418,1101,1760
20150419,4401,58
20150419,3101,275
20150419,1101,1499
20150419,3301,148
20150419,5101,151
20150419,4403,107
20150420,3101,326
20150420,4201,1
20150420,1101,1553
20150420,4403,161
20150420,4401,69
20150420,5101,184
20150420,3301,184
20150421,4401,80
20150421,4403,148
20150421,4201,3
20150421,1101,1810
20150421,5101,175
20150421,3101,349
20150421,3301,182
20150422,3101,374
20150422,4201,4
20150422,1101,1924
20150422,4403,139
20150422,3301,206
20150422,4401,83
20150422,5101,184
20150423,3101,382
20150423,3301,232
20150423,5101,221
20150423,4403,148
20150423,4201,22
20150423,1101,2011
20150423,4401,107
20150424,4403,182
20150424,3205,1
20150424,4401,101
20150424,1101,2278
20150424,4201,9
20150424,3101,397
20150424,3301,222
20150424,1201,1
20150424,5101,253
20150425,1101,3356
20150425,4201,30
20150425,5101,380
20150425,1201,23
20150425,3101,869
20150425,3301,331
20150425,3205,8
20150425,4401,144
20150425,4403,314
20150425,3201,26
20150426,4403,265
20150426,5101,300
20150426,3101,537
20150426,1101,2794
20150426,4201,16
20150426,3205,2
20150426,4401,110
20150426,3201,6
20150426,1201,10
20150426,3301,338
20150427,3201,22
20150427,3205,6
20150427,3101,676
20150427,4401,163
20150427,3301,446
20150427,4403,285
20150427,4201,8
20150427,1101,3426
20150427,5101,321
20150427,1201,33
20150428,5101,483
20150428,3301,533
20150428,3101,946
20150428,4401,211
20150428,1101,4089
20150428,4201,21
20150428,3205,9
20150428,4403,298
20150428,1201,20
20150428,3201,11
20150429,3201,5
20150429,4403,177
20150429,4401,118
20150429,1201,12
20150429,1101,2283
20150429,4201,8
20150429,5101,265
20150429,3301,271
20150429,3101,418
20150430,4403,204
20150430,3205,2
20150430,3201,4
20150430,1201,9
20150430,4401,187
20150430,4201,22
20150430,1101,3193
20150430,3101,587
20150430,3301,344
20150430,5101,385
20150501,4401,75
20150501,1101,2296
20150501,4403,136
20150501,4201,7
20150501,5101,270
20150501,3201,3
20150501,1201,14
20150501,3101,315
20150501,3301,190
20150502,3205,2
20150502,3201,1
20150502,4401,56
20150502,4403,113
20150502,3101,296
20150502,3301,203
20150502,4201,4
20150502,5101,221
20150502,1101,1681
20150502,1201,9
20150503,4401,44
20150503,3101,313
20150503,1101,1642
20150503,4201,5
